Item No.,Description ,UOM , Qty ,Rate ,Amount 
5.3,"Providing and fixing Mechanical Splicing using threaded coupler to the reinforcement bars of specified dia and grade using high yield strength standard couplers of specially produced steel to join ribbed bearing bars machine cut end to end. Cost to include necessary supply of threaded couplers of various diameters, reducing diameters,transportation,coupling at site by mechanical means, threading of reinforcement bars at ends,erection at site, testing of random samples, testing of joints at site using ultrasonic methods required by Structural consultant at intervals as directed, protection of threaded ends using PVC covers, all tools and tackels, lead and lift etc., complete at all levels and location specified as per drawings.Cost to include necessary testing of couplers as per IS 16172.",, -   ,, -   
i,Couplers,, -   ,, -   
a,For 32 mm dia,Nos," 1,400 ",, -   
b,For 25 mm dia,Nos," 2,600 ",, -   
c,For 20 mm dia,Nos," 2,600 ",, -   
d,For 16 mm dia,Nos," 2,600 ",, -   
ii,Reduced couplers,, -   ,, -   
a,For 32-25 mm dia,Nos, 275 ,, -   
b,For 32-20 mm dia,Nos, 225 ,, -   
c,For 32-16 mm dia,Nos, 215 ,, -   
d,For 25-20 mm dia,Nos, 60 ,, -   
e,For 25-16mm dia,Nos, 60 ,, -   
f,For 25-12mm dia,Nos, 60 ,, -   
g,For 20-16 mm dia,Nos, 60 ,, -   
h,For 20-12 mm dia,Nos, 60 ,, -   
i,For 16-12 mm dia,Nos, 60 ,, -   
,Sub-Total,,,, -   
6,CONCRETE FLOORING WORKS ,, -   ,, -   
,Unless otherwise specified rates quoted for all flooring works shall include the following :,, -   ,, -   
,"Cost of all materials, labour, equipment / tools & plants required, conveyance, infrastructure facilities required etc.",, -   ,, -   
,"Work at any depth below ground level or any height above ground level and at all levels, heights & elevation and location.  ",, -   ,, -   
,"Final preparation of base, sub-grade or sub-floor by cleaning of all dust/dirt, loose particles, caulked  mortar dropping by scrubbing with  coir  or  steel  wire  brushes, caulking etc.  Roughening surface if so  directed,  cleaning  with water and keeping surface wet for 12 hours  and removing surplus water by mopping before topping is laid and minor trimming of the base to remove undulations.",, -   ,, -   
,"Cleaning, preparation of surface  and  watering  immediately  before laying the floor as directed.",, -   ,, -   
,Keeping the surface wet for a minimum period of one week.,, -   ,, -   
,Tests on materials shall conform to IS  Specification and the test shall be carried out as directed either at site Laboratory or at any approved test laboratory.,, -   ,, -   
,VDF operation shall be carried out as per specification.,, -   ,, -   
,"Joints/Grooves shall be done within 48hours after the slab has been casted at specified width and depth, sealing the grooves with joint sealants as specified.",, -   ,, -   
,"Designing the concrete mix and batching as per the required specifications using neseccary cementisious materials, shrinkage compensating admixture, fibres etc. to achive the desired finish and crack free flooring is included in the rates.",, -   ,, -   
6.1.a,"Providing, supplying and laying, finishing M20 grade batch mixed controlled reinforced concrete for non slippery, Vaccum dewatered / IPS flooring of specified average thickness as per drawings/site conditions, Laying in panels with required slope, including cleaning, trimming, watering the surface, laying in strips to required levels, slopes to get the required gradient, power trowelling, smoothening curing etc complete to the required slope, formation, finish as indicated in the drawing. Cost to include working at all levels, Lead and Lifts, necessary pumping to required levels and locations specified as per drawings. (VD operation shall be paid separately if required as per site conditions).The rate shall include the necessary cambers to be provided, rectification of construction defects and undulation etc complete. Allowable variation shall be as per the the IS code.",Cum," 3,964 ",, -   
b,"Providing vacuum de-watered flooring operation consisting of providing side shuttering with MS channels, angles to the required levels, Vibrating the concrete by using screed vibrator, de-watering using vacuum pumps by suction method and finishing the top surface to required level and grade using skim floaters/discs/power trowels. Covering the finished concrete surface with 200 micron thick polythene sheet and curing etc., complete at all levels.",Sqm," 33,222 ",, -   
c,"Providing and mixing Graded synthetic micro fibres of mono fillament poly propylene fibres in concrete at the rate of 0.90 kg/cum including supply, mixing, supervision etc., complete to minimize the shrinkage cracks as per manufacturers specifications in screed layers with necessary testing.",Kgs," 3,568 ",, -   
d,Providing and mixing hardners in concrete flooring as per manufacturers specifications.,, -   ,, -   
i,For Car parking floors at 5.0kg/ sqm,Kgs," 1,66,110 ",, -   
ii,For Ramps at 7.0kg/ sqm,Kgs," 9,051 ",, -   
e,"Charges towards cutting grooves of specified size at control joints and construction joints with necessary cleaning, filling, finishing and curing the grooves using pourable grade Sealants of approved makes specified. Rate to include for all tools and tackles, all lead and lift etc complete. The construction joint shall be cut using diamond bit wheel for a width and depth as specified within 20 to 30 hours of concreting, no delay shall be acceptable.
For aesthetics purpose the grooves shall not cut across car park marking and the bay size shall be increased to required panel to avoid such situations.",, -   ,, -   
i,Upto 5mm wide x 30mm deep using polyurathane sealants.,Rmt," 17,441 ",, -   
f,"Providing and placing the 10mm X 100mm thermocol to be placed at alround the columns, peripheral walls prior to laying concrete/screed and later 10mm wide X 30 mm deep thermocol to be removed from screed top and to be filled with Polyurathane sealent etc as complete.
Rate including all kind of materials, Labours, wastages, cleaning, debris removal etc.
Location: Parking area flooring",Rmt," 13,410 ",, -   
6.2,"Providing, supplying and laying, finishing M20 grade batch mixed controlled concrete for flooring of average thickness as per drawings/site conditions with required slope on ramp slabs including serrated finish as directed by engineer in charge, cleaning, trimming, watering the surface, curing etc complete to the required slope, formation, finish as indicated in the drawing. Cost to include working at all levels, Lead and Lifts,  necessary pumping to required levels and locations specified as per drawings.",Cum, 129 ,, -   
6.3,"Providing and laying Cement  Screed Concrete Flooring of 35mm  average thickness with cement concrete 1:2:4 using 12mm and down graded aggregates to be finished smooth in order to achieve proper level to receive tile flooring,  includes compacting, curing,  etc., complete at all levels  with all leads and lifts, and as per the instructions of Client / the Engineer.",, -   ,, -   
,Location:  Tile Flooring,, -   ,, -   
a,Basement ,Sqm, 114 ,, -   
b,Ground floor,Sqm, 114 ,, -   
c,Floor -1,Sqm, 211 ,, -   
d,Floor -2,Sqm," 2,834 ",, -   
e,Floor -3,Sqm," 2,320 ",, -   
f,Floor -4,Sqm," 2,320 ",, -   
g,Floor -5,Sqm," 2,427 ",, -   
h,Floor -6,Sqm," 2,427 ",, -   
i,Floor -7,Sqm," 2,427 ",, -   
j,Floor -8,Sqm," 2,456 ",, -   
k,Floor -9,Sqm," 2,456 ",, -   
l,Floor -10,Sqm," 2,456 ",, -   
m,Floor -11,Sqm," 2,456 ",, -   
n,Floor -12,Sqm," 2,456 ",, -   
o,Floor -13,Sqm," 2,456 ",, -   
p,Floor -14,Sqm," 2,456 ",, -   
q,Floor -15,Sqm," 2,456 ",, -   
r,Floor -16,Sqm," 2,456 ",, -   
s,Floor -17,Sqm," 2,456 ",, -   
t,Floor -18,Sqm," 2,357 ",, -   
u,Floor -19,Sqm," 2,456 ",, -   
v,Floor -20,Sqm," 2,456 ",, -   
w,Floor -21,Sqm," 2,456 ",, -   
x,Floor -22,Sqm," 2,456 ",, -   
 y ,Floor -23,Sqm," 2,456 ",, -   
 z ,Floor -24,Sqm," 2,456 ",, -   
 aa ,Floor -25,Sqm," 2,456 ",, -   
 ab ,Floor -26,Sqm," 2,385 ",, -   
 ac ,Floor -27,Sqm," 1,986 ",, -   
 ad ,Floor -28,Sqm, 991 ,, -   
6.4,"Providing and laying Self leveling screed  Concrete Flooring at all levels/floors using cement concrete 1:2:4 using 12mm and down graded aggregates to be finished smooth in order to achieve proper level to receive Laminated Wooden flooring,  includes compacting, curing,  etc., complete at all levels  with all leads and lifts, and as per the instructions of Client / the Engineer.",Cum, 550 ,, -   
,Sub-Total,,,, -   
7,WATERPROOFING  WORKS,, -   ,, -   
,"NOTE: 1.Specialized agency to be approved by Consultants/Client
1. The guarantee for waterproofing should be provided by the principal company for 10years for both material and application.
2.Guarantee/warranty from applicators will not be acceptable. An undertaking in this regard from the principal company should be enclosed along with the letter for approval of waterproofing agency.
3.Testing of the surfaces prior to start the work by ponding, grouting or sealing of joints, making watta at corners/ junctions etc are deemed to be included for all items while quoting rates. If any leakage is found subsequently, it has to be made water tight by the contractor free of cost. 
4.During construction, all the construction joints of water bodies should be provided with butyl rubber swellable bars at all construction joints, retaining walls joints both from horizontal and Vertical joints using standard manufacturers like BASF/SIKA/FOSROC or equivalent as approved by the Client / the Engineer.
5. It is the responsibility of the contractor to maintain safe and clean working conditions in all activities related to the water proofing works at all time.
6. Utmost care should be taken to prevent any accident during the waterproofing work as some works are carried out in confined areas and dealing with chemicals.
7. Those who are working should have personal protective equipments PPE's like hand gloves, goggles, shoe, Helmet, mask,etc.,
8.   Manufacturer's specifications should be strictly  followed to avoid any accidents due to improper handling of materials.
9. Materials should be stored as per manufacturer specifications.
10. Materials  should be stored with proper labelling to avoid improper usage of consumption of any material by any workers.
11. Material Safety Data Sheet (MSDS) should be available at the time of delivery  of materials.
12. Adequate  fire  protection  measures  should  be  available  at  storage  and application location as some of the products are combustible.",, -   ,, -   
,"13. Risk assessment should be carried out before the work starts. Risk assessment should  contain all  possible  risks, risk  rating without  control  measures, control measures and risk rating after implementation of corrective measures. Tool box talks should be conducted  every week explaining possible risks and its control measures. .
14. Clean environment should be maintained all around the work place.
15. All vessels and tools used for mixing and application of chemicals should be cleaned using appropriate cleaning materials suggested by the manufacturers. 
16. Water and balance materials after cleaning should be disposed off in such a way that it is not polluting the environment
17. Approved  method statement and material details should be available before starting the work.
18. Waterproofing  work  should  be carried  out  on  concrete  surface  which  are minimum 28 days old.
19. Waterproofing shall be carried out on sound concrete surfaces only.
20. Manufacturer specification  for  handling, mixing, application and storage  of material should be strictly followed.
21. Water  pond  test  should  be  conducted  after  surface  preparation  and  completion of waterproofing work to ensure water tightness.
22. All materials used to be supported with third party certificates / external laboratory test report as and when insisted by the Client / the Engineer specifically while start of work or on need basis, the same cost is with the scope of concerned water proofing agency.",, -   ,, -   
7.1,"RETAINING WALLS - BASEMENT, STP, UG SUMP (EXTERNAL)",, -   ,, -   
a,"1. Surface preparation: Before starting of waterproofing works the surface of the wall should be made free of any loose particles, vegetation, grease or oily matters etc. All tie rod holes should be filled properly. All honeycombs should be repaired as per approved repair procedures. Treating the Construction Joints : Chase opening the Construction Joints by providing ''V "" groove,  removing  the  dust  and  clean  the  designated  area following  by  providing with approved  nonshrink high strength cemenitious grout, finishing, curing etc. as per manufacturers specification and as directed. Any damp spots on the walls should be attended by grouting cement mixed with flow enhancers like Cebex-100 or equivalent until the leak or dampness is fully arrested. When PVC pipes are inserted in the designated openings in the slab, it should be applied with epoxy bonding agent sprayed with sand on the portion coming in contact with non shrink grout or mortar or concrete to enhance the bonding and packed with non shrink grout includiing scafolding as directed.  
All sharp edges and corners to be chamferred / haunched to receive the membrane.
2. Providing and laying minimum 1.5 mm thick self adhesive, self healing type SBS based membranes  minimum puncture resistance of 220N(ASTM E154), tensile resistance over 200%, Elongation over 200%(ASTM D-412) and tear resistance of more than 200N (ASTM D1004). The membrane shall be laid over a compatible primer as per Manufacturer's specification with sufficient overlaps.
3. This membrane should be protected with 250 GSM minimum non woven polyester mat for high puncture resistance laid over the membrane either loosely laid or fixed as per manufacturer specifications.
4. The SBS membrane as well as the protection layer should have sufficient overlap as per manufacturer specifications.
5. The applicator/manufacturer should submit the details of waterproofing near the penetrations on the wall.
6. The membrane should be terminated on all sides properly with watertight joints.",, -   ,, -   
,"7.The manufacturer/applicator should submit the details and get client approval prior to start the work.
8.The contractor to include cost of termination of waterproofing system with necessary overlapping, joint treatment etc complete all as per manufacturer's recommendations.
9.Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",, -   ,, -   
i,STP - External walls,Sqm, 659 ,, -   
ii,UG Sump - External walls,Sqm, 868 ,, -   
iii,Retaining wall - External walls,Sqm," 5,838 ",, -   
iv,Rain Water Sump - External,Sqm, 262 ,, -   
7.2,LIFT PITS WALLS EXTERNAL & INTERNAL,, -   ,, -   
,"1. Surface preparation: Before starting waterproofing works the surface of the wall should be made free of any loose particles, vegetation, grease or oily matters etc. All tie rod holes should be filled properly. All honeycombs should be repaired as per approved repair procedures. Treating the Construction Joints: Chase opening the Construction Joints by providing ''V "" groove,  removing  the  dust  and  clean  the  designated  area following  by  providing   with  approved  nonshrink high strength cemenitious  grout, finishing, curing etc. as per manufacturers  specification and as directed.Any damp spots on the walls should be attended by grouting cement mixed with flow enhancers like Cebex-100 or equivalent until the leak or dampness is fully arrested. When PVC pipes are inserted in the designated openings in the slab, it should be applied with epoxy bonding agent sprayed with sand on the portion coming in contact with non shrink grout or mortar or concrete to enhance the bonding and packed with non shrink grout including scafolding as directed.  
All sharp edges and corners to be chamferred / haunched to receive the membrane.
2. Providing and applying Two coats of cold applied, flexible, damp proof  bituminous emulsion coating with approx. density of 1.0kg/litre @+250C, Minimum 10% rubber content and a coverage yield of minimum 0.5 litre/Sqm .The coating shall be laid over a compatible primer as per Manufacturer's specification with sufficient overlaps.
3. This membrane should be protected with 250 GSM minimum non woven polyester mat fixed as per manufacturer specifications.
4. The emulsion coating and he protection layer should have sufficient overlap as per manufacturer specifications.
5. The applicator/manufacturer should submit the details of waterproofing near the penetrations on the wall.
6. The membrane should be terminated on all sides properly with watertight joints. 
7.The manufacturer/applicator should submit the details and get client approval prior to start the work.",, -   ,, -   
,"8.The contractor to include cost of termination of waterproofing system with necessary overlapping, joint treatment, etc complete all as per manufacturer's recommendations.The rate shall include all leads,lifts staging/scaffolding,etc required for the application.
9.Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",, -   ,, -   
i,Lift base slab internal & Walls of Internal+ External,Sqm," 1,329 ",, -   
7.3,"UG SUMP, OHT & STP, COLLECTION TANKS (INTERNAL) ",, -   ,, -   
i,"WATERPROOFING TREATMENT FOR UG SUMP,OHT,STP (INTERNAL SIDE APPLICATION)",, -   ,, -   
,Providing waterproofing by Surface method INTERNALLY by following methods with 10 years guarantee.,, -   ,, -   
a,"1.Treating the Construction Joints : Chase opening the Construction Joints by providing ""V"" groove,  removing  the  dust  and  clean  the  designated  area following  by  providing  chemical  injection  treatment  in the  form  of  pressure grouting by injecting cement slurry admixed with approved grout admixture,  in the  required  consistency  through  the  pre fixed  PVC nozzles, which shall include drilling of 18 mm dia holes, fixing of PVC nozzles with approved chemical' and final cutting the projected nozzles and sealing off the PVC nozzles after the injection  operation  is  over  with  approved  chemical,  nonshrink  rapid  setting grout, finishing, curing etc. as per manufacturers  specification and as directed.Tierod holes shall be filled with approved grout materials.
 2. Coving: Providing and Applying at the junction of slab and vertical offsets with cement Mortar 1:4 and approved admixture at a size of 75 mm x 75 mm.
3. Bore Packing:  Preparing the inside surface of core and PVC by roughening using suitable file to get better adhesion prior to packing works. Cleaning the surface by wire brushing followed by water jet to remove any laitance or loose flaky  particles.
4. Providing necessary formwork for packing the bore using suitable arrangement (depending  upon  site  conditions).  Applying  a  coat  of  epoxy bonding agent to enhance adhesion between  the packing material and other surfaces. Packing the gap using approved  non-shrink cement polymer based grout. Ponding tests for a period of 48 hours should be conducted before start to ensure water tightness.",Sqm," 6,552 ",, -   
,"5. Internal Side Waterproofing: Providing and applying two coats of acrylic based  polymer  modified  cementitious  waterproof  coating  over prepared surface with necessary primer coat as per the manufacturer recommendations. Removing all surface laitance and contamination free from loose aggregate or other sharp protrusions with fairly smooth finish by wire brush and grinding method and surface shall be damped with Water for application of  waterproof coating.
6.Waterproofing coating shall contain a liquid polymer component and a cementitious powder component which  shall  be  mixed  as  per  manufacturer's instructions and  applied over prepared concrete surface strictly maintaining the coverage & thickness of minimum 1.2 mm or as specified  by  the  manufacturer whichever is more . The  applied  material  of  Waterproofing  coating  should  have a Pull off adhesion of greater than 1N/mm2 as per ASTM-04541 and static crack accommodation  of  1mm according to ASTM-C836. Complete as per the Contractors methodology approved by consultants / clients.
Cost to include necessary grouting of porous areas, Haunching at the junction of floor and walls, termination at the ends etc, supply and spraying 2.36mm sieved sand on the coating while it is wet to aid bonding complete.
Ponding tests for a period of 48 hours should be conducted post protective layer to ensure water tightness.
Treatment  shall  be  provided  from  standard  manufacturers  like  BASF,  SIKA, FOSROC or equivalent.",,,,
b,"Protective layer(Horizontal): Providing & Laying M15 grade screed concrete to required slope admix with integral waterproofing compound Conplast WL  of FOSROC make or Equivalent at the dosage of 125ml/bag of cement over waterproofing layer to a minimum thickness of 50mm or as per site requirement, complete. Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",Sqm," 1,633 ",, -   
c,"Protective Layer (Vertical): Rendering plastering to internal wall surfaces by 12mm thk in CM 1:4 with waterproofing admixtures as per manufacturer's specifications and clients approval, curing etc. complete.Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",Sqm," 4,919 ",, -   
ii,WATERPROOF LINING COATING FOR RAW WATER TANKS OF STP INTERNAL.,, -   ,, -   
a,"WATER TANKS OF STP:
Providing and applying Coal tar epoxy coating 2 coats in X&Y direction as per the manufacturer recommendations over the plastered surface in STP raw water tanks to avoid the chemical reaction with water proof coating surface.Coal tar epoxy coating shall be applied to achieve a DFT of 300microns over two coats or as mentioned in the TDS of the material used whichever is higher. Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",Sqm," 2,222 ",, -   
iii,"WATERPROOF LINING COATING FOR TREATED WATER TANKS OF STP, RAW & TREATED WATER TANKS OF UG SUMP, OHT, STP  - INTERNAL",, -   ,, -   
a,"TREATED WATER TANKS OF STP, RAW & TREATED WATER TANKS OF UG SUMP, OHT, STP-INTERNAL:
Food Grade Epoxy Protective Coating: 
All treated water tanks of UG sump,OHT and STP's after protection plaster works are to be coated with two coats of food grade Epoxy lining coating.
Providing and applying a two pack, solvent free, food grade certified epoxy resin material on the protective screed /plaster of  the treated water tanks . The material shall cure to provide a smooth, hygienic and tough ﬁnish suitable for contact with potable water. The cured ﬁlm should be resistant to corrosion, chemical attack and abrasion . The cured ﬁlm should be non-toxic and meets the requirements of IS : 9833 - 1981, Strictly following the instructions as per Manufacturer specifications. Food grade certification should be submitted along with product details prior to start of the work. The epxoy coating shall be done to achieve a DFT of 200 microns over two coats or as mentioned in the TDS of the material used whichever is higher.
Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",, -   ,, -   
i,UG Sump - Internal,Sqm," 3,349 ",, -   
ii,STP - Internal,Sqm," 2,222 ",, -   
iii,OHT - Internal,Sqm, 981 ,, -   
iv,Rain Water Sump - Internal,Sqm, 262 ,, -   
7.4,"Providing, supplying, fixing and treating of construction joints/control joints, settlement joints etc as specified using  single component, self sealing water swelling bars made up of flexible polymer composites at joints of retaining walls and water retaining structures, foundations, floor slabs etc and wherever specified with proper overlaps at joints of approved makes as per consultants approval at all levels as per drawings.",, -   ,, -   
i,"Construction joints in Grade slab and foundations at UGT, STP (10mm x 20mm ) ",Rmt," 1,576 ",, -   
ii,Construction joints in Retaining wall and Water Retaining Structures (10mm x 20mm ) ,Rmt," 4,209 ",, -   
7.5,TOILETS / BALCONIES/UTILITIES ,, -   ,, -   
i,"Providing waterproofing for the Toilets / Balconies / Utilities, in two parts, by Surface method as follows. 
Note: Plan area shall be the mode of measurement",, -   ,, -   
A,WATERPROOFING TREATMENT FOR STRUCTURAL DROP 80MM,, -   ,, -   
,Note: Plan area shall be the mode of measurement.,, -   ,, -   
i,"1. Before starting waterproofing works, the surface of the slab should be made free of any loose particles, vegetation, grease or oily matters etc. All honey combs should be repaired as per approved repair procedures. 
2.When PVC pipes are inserted in the designated openings in the slab/wall, it should be applied with epoxy bonding agent sprayed with sand on the portion coming in contact with non shrink grout or mortar or concrete to enhance the bonding and packed with non shrink grout includiing scafolding as directed.  
3.During construction, Construction joints (CJ) are not to be provided in sunken areas for toilets, balconies and utility areas. By any chance if CJ exist in areas mentioned above, treatment method for such CJ should be considered on a case to case basis. Coving or haunching shall be made in between vertical and horizontal surfaces as per the manufacturer recommendations,block works and slab joints shall be make water tight.
4.Ponding test should be conducted for a period of 48 hours to ensure that there is no leakage from the slab.Any damp spots on the slab should be attended by grouting cement mixed with flow enhancers like Cebex-100 or equivalent until the leak or dampness is arrested. 
5.. After preparing the surface necessary primer coat shall be applied as mentioned above apply polymer based acrylic cementitious coating (preferable two coats) with minimum 1.2mm thickness(DFT). The coating shall be terminated 300 mm above the finish floor level. The membrane should have minimum 40% elongation capacity with a water resistance capacity of 1.5 bars. After completion of coatings  proper barrication shall be ensured to avoid movements.
6.. Coverage of the material should be noted on a daily basis and to be included in the daily quality control report.
7. All penetrations should be made water tight. Waterproofing details near the penetrations should be submitted to the client and approval to be obtained prior to start the work. 
8.. Manufacturer/applicator should submit the complete product details with Shore A hardness, tensile strength, elongation and tear strength along with detailed method statement showing details at penetration, termination etc. 
Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.
Note: Plan area shall be the mode of measurement.",, -   ,, -   
a,Toilets , Sqm ," 5,434 ",, -   
b,Balcony, Sqm ," 5,951 ",, -   
ii,"For Floor: The second part consists of screed concrete of M15 grade concrete, with a thicknesss of minimum 35mm (average 100mm thk)  in the sunken slabs to required slope, level & finish to receive floor tiles, including consolidation, curing etc., complete at all levels  for floor. 
Ponding tests for a period of 48 hours should be conducted after the completion of protection layer to ensure water tightness.
Note: Plan area shall be the mode of measurement.",, -   ,, -   
a,Toilets , Sqm ," 5,434 ",, -   
b,Balcony, Sqm ," 5,951 ",, -   
iii,"For vertical: Plastering using CM 1:4 ratio, 12 mm thick for walls till 300 mm above finished floor levels with water proof admixture as per Manufacturer's specification approved by consultants/client.
Ponding tests for a period of 48 hours should be conducted after the completion of protection layer to ensure water tightness.",, -   ,, -   
a,Toilets , Sqm ," 5,930 ",, -   
b,Balcony, Sqm ," 2,803 ",, -   
B,WATERPROOFING TREATMENT FOR - SUNK DEPTH 100mm,, -   ,, -   
,Note: Plan area shall be the mode of measurement.,, -   ,, -   
i,"PART A: 1. Before starting waterproofing works, the surface of the slab should be made free of any loose particles, vegetation, grease or oily matters etc. All honey combs should be repaired as per approved repair procedures. 
2.When PVC pipes are inserted in the designated openings in the slab/wall, it should be applied with epoxy bonding agent sprayed with sand on the portion coming in contact with non shrink grout or mortar or concrete to enhance the bonding and packed with non shrink grout includiing scafolding as directed.  
3.During construction, Construction joints (CJ) are not to be provided in sunken areas for toilets, balconies and utility areas. By any chance if CJ exist in areas mentioned above, treatment method for such CJ should be considered on a case to case basis. Coving or haunching shall be made in between vertical and horizontal surfaces as per the manufacturer recommendations,block works and slab joints shall be make water tight.
4.Ponding test should be conducted for a period of 48 hours to ensure that there is no leakage from the slab.Any damp spots on the slab should be attended by grouting cement mixed with flow enhancers like Cebex-100 or equivalent until the leak or dampness is arrested. 
5. After preparing the surface necessary primer coat shall be applied as mentioned above apply polymer based acrylic cementitious coating (preferable two coats) with minimum 1.2mm thickness(DFT).The coating shall be terminated 300mm above the finish floor level. The membrane should have minimum 40% elongation capacity with a water resistance capacity of 1.5 bars.After completion of coatings  proper barrication shall be ensured to avoid movements.
6. Coverage of the material should be noted on a daily basis and to be included in the daily quality control report.
7. All penetrations should be made water tight. Waterproofing details near the penetrations should be submitted to the client and approval to be obtained prior to start the work. 
8. Manufacturer/applicator should submit the complete product details with Shore A hardness, tensile strength, elongation and tear strength along with detailed method statement showing details at penetration, termination etc. 
Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.
Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART B: The second part consists of surface method in cement plater with 1:4 mortar; for floor of 15mm thickness, finished with neat cement finish with necesary slope towards the spout, and  CM 1:4 ratio, 12 mm thick for walls till 300mm above finished floor levels with water proof admixture as per Manufacturer's specification approved by consultants/client.
Ponding tests for a period of 48 hours should be conducted after the completion of protection layer to ensure water tightness. Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART C: Providing and filling approved 50mm downsize Cinder in CM 1:8 proportion on structural slab having high compressive strength with thermal / acoustic insulation properties, anti-corrosion of  desired density. Cinder available from furnaces of steam boilers using coal fuel only shall be used and brick kiln cinder shall not be allowed. The cinder should be cleaned, free from dirt and wood ashes and shall pass through IS 3.35 sieve with 50% passing through IS 1.70 sieve and should not contain more than 10% of unburnt carbon and not more than 0.5% of acid soluble sulphates(SO). The cinder should be soaked in water before filling. Including Mixing, transportation, placing, compacting and finishing to the required level etc complete. density 800 Kg/Cum. The concrete shall be cured for 7 days.
Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART D: Providing and laying PCC M15, 50mm thick screed concrete over cinder filling in the sunken slabs to required slope, level & fininsh to receive floor tiles, including consolidation, curing etc., complete at all levels
Note: Plan area shall be the mode of measurement.",, -   ,, -   
,Part-A - Waterproofing as per above specification,Sqm, 82 ,, -   
,Part-B - Protective Plaster as per above specification,Sqm, 82 ,, -   
,Part-C - Cinder Filling as per above specification,Cum, 8 ,, -   
,Part-D - Screed concrete as per above specification,Sqm, 82 ,, -   
ii,"Supply, fixing and testing of 40 mm dia  PVC pipes(6kg/sqcm) conforming to IS 4985 above the protective screed level at sunken slabs to drain out the collected water if any with solvent cement joints, including all the fittings in sunken slabs to the nearby shaft. The quoted rate to include necessary borepacking around the pipes and supports such as hanger supports, grip bolts, clamps etc., complete.",Rmt, 25 ,, -   
C,WATERPROOFING TREATMENT FOR - SUNK DEPTH 150mm,, -   ,, -   
,Note: Plan area shall be the mode of measurement.,, -   ,, -   
i,"PART A: 1. Before starting waterproofing works, the surface of the slab should be made free of any loose particles, vegetation, grease or oily matters etc. All honey combs should be repaired as per approved repair procedures. 
2.When PVC pipes are inserted in the designated openings in the slab/wall, it should be applied with epoxy bonding agent sprayed with sand on the portion coming in contact with non shrink grout or mortar or concrete to enhance the bonding and packed with non shrink grout includiing scafolding as directed.  
3.During construction, Construction joints (CJ) are not to be provided in sunken areas for toilets, balconies and utility areas. By any chance if CJ exist in areas mentioned above, treatment method for such CJ should be considered on a case to case basis. Coving or haunching shall be made in between vertical and horizontal surfaces as per the manufacturer recommendations,block works and slab joints shall be make water tight.
4.Ponding test should be conducted for a period of 48 hours to ensure that there is no leakage from the slab.Any damp spots on the slab should be attended by grouting cement mixed with flow enhancers like Cebex-100 or equivalent until the leak or dampness is arrested. 
5. After preparing the surface necessary primer coat shall be applied as mentioned above apply polymer based acrylic cementitious coating (preferable two coats) with minimum 1.2mm thickness(DFT).The coating shall be terminated 300mm above the finish floor level. The membrane should have minimum 40% elongation capacity with a water resistance capacity of 1.5 bars.After completion of coatings  proper barrication shall be ensured to avoid movements.
6. Coverage of the material should be noted on a daily basis and to be included in the daily quality control report.
7. All penetrations should be made water tight. Waterproofing details near the penetrations should be submitted to the client and approval to be obtained prior to start the work. 
8. Manufacturer/applicator should submit the complete product details with Shore A hardness, tensile strength, elongation and tear strength along with detailed method statement showing details at penetration, termination etc. 
Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.
Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART B: The second part consists of surface method in cement plater with 1:4 mortar; for floor of 15mm thickness, finished with neat cement finish with necesary slope towards the spout, and  CM 1:4 ratio, 12 mm thick for walls till 300mm above finished floor levels with water proof admixture as per Manufacturer's specification approved by consultants/client.
Ponding tests for a period of 48 hours should be conducted after the completion of protection layer to ensure water tightness. Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART C: Providing and filling approved 50mm downsize Cinder in CM 1:8 proportion on structural slab having high compressive strength with thermal / acoustic insulation properties, anti-corrosion of  desired density. Cinder available from furnaces of steam boilers using coal fuel only shall be used and brick kiln cinder shall not be allowed. The cinder should be cleaned, free from dirt and wood ashes and shall pass through IS 3.35 sieve with 50% passing through IS 1.70 sieve and should not contain more than 10% of unburnt carbon and not more than 0.5% of acid soluble sulphates(SO). The cinder should be soaked in water before filling. Including Mixing, transportation, placing, compacting and finishing to the required level etc complete. density 800 Kg/Cum. The concrete shall be cured for 7 days.
Note: Plan area shall be the mode of measurement.",, -   ,, -   
,"PART D: Providing and laying PCC M15, 50mm thick screed concrete over cinder filling in the sunken slabs to required slope, level & fininsh to receive floor tiles, including consolidation, curing etc., complete at all levels
Note: Plan area shall be the mode of measurement.",, -   ,, -   
