Item No.,Description ,UOM , Qty ,Rate ,Amount 
a,"Excavation in all types of soil including dense soil, laterite reddish brown/Laterite reddish brown with patches/ dense soil disintegrated/ weathered/ soft rock (Poclainable) by mechanical means including manual excavation for levelling, dressing the edges, with all leads and lifts. Dewatering of both ground and surface water, removal of slurry generated while excavation and keeping the area free of water with necessary shoring, strutting, required for keeping earth in position etc, 
Note: PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately).",Cum, 400 ,, -   
b,"Specification & scope of work same as item No: 1.02.a but for Excavation in Hard rock / boulders (more than 1/2 Cum in size -Un poclainable) by chiselling/ wedging to required level to the required depth including all leads and lifts, dressing, grading, cleaning, excavating loose pockets directed and disposing etc. as per detailed specification and conforming to safety rules of Authority during the progress of work.  
Note: The percentage of voids to be deducted from stack measurement is 40% for hardrock or Initial levels will be taken before blasting hard rock and final levels will be taken after achieving required levels in presence of PIC.
Note: PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately. Mode of measurement shall be by joint measurements/ levels before and after excavation).",Cum, 800 ,, -   
c,"Specification & scope of work same as item No: 1.02.a but for Excavation in Hard rock / boulders (more than 1/2 Cum in size -Un poclainable) by Diamond Rope Cutting to required level to the required depth including all leads and lifts, dressing, grading, cleaning, excavating loose pockets directed and disposing etc. as per detailed specification and conforming to safety rules of Authority during the progress of work.  
Note: The percentage of voids to be deducted from stack measurement is 40% for hardrock or Initial levels will be taken before blasting hard rock and final levels will be taken after achieving required levels in presence of PIC.
Note: PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately. Mode of measurement shall be by joint measurements/ levels before and after excavation).",Cum," 4,772 ",, -   
1.03,BACKFILLING,, -   ,, -   
,"Supply and filling in foundations and the area whereever specified with approved good quality filling materials in plinths, area development etc. wherever specified  in layers of not exceeding 150 mm thick including breaking clods,storing,transportation, double handling, watering, compacting each layer with vibratory compactor and at unaccessible places with wooden/steel rammers to achieve 90 to 95% proctor density at optimum moisture content, all leads and lifts, bailing/ pumping out of water to keep site dry while backfilling; cost shall include conveyance of all materials, labour, machinery etc. complete as directed.The rate to includes loading,unloading, hire and fuel charges for tools and plants and other incidental charges etc., complete. Cost to include all necessary royalty and other permission charges required to execute the works.
",, -   ,, -   
i,With excavated earth available at site,Cum, 500 ,, -   
ii,With Brought outside earth,Cum," 13,405 ",, -   
1.04,"Carting away surplus earth/excavated material/debris/rock and like materials outside the plot and disposing off the same to the designated areas identified by the local authorities / project managers for dumping of such material, including spreading, compacting etc.,as per the norms by the local authorities.
Mode of measurement- where measurement is not possible by level.
i) Soil - truck measurement less 20% for voids.
ii) Hard Rock - truck measurement less 50% for voids
iii) Debris - truck measurement less 30% for voids.",Cum," 15,712 ",, -   
1.05,"Providing and drilling hole of 50mm dia for a depth of 750mm @ 900mm c/c spacing as shown in the drawing. Inserting re-bar of 25mm dia into these holes and grouting the spaces using cement,sand along with non shrink grout. Cost Including drilling the rock up to required depth below the PCC level with all leads and lifts, grouting, reinforcement steel, labour charges, aceessories, consumbles, cleaning the debris, Testing if required, all kind of materials, labours etc, curing, at all heights and depths, etc., complete as directed by EIC.",Nos," 6,913 ",, -   
,Sub-Total,,,, -   
1.1,ANTI-TERMITE TREATMENT WORKS,, -   ,, -   
i,"Providing Pre-constructional anti- termite treatment and creating a chemical barrier to the building by injecting chemical emulsion of required concentrations under grade slab and Grade beam,  around the Plinth, Plinth filling, trenches, junction of wall and floor, Retaining / side walls of basement floor, external perimeter of building, surrounding of pipes, expansion joints, below UG sump and etc.as per instructions of chemical manufacturer and all as directed.  The treatment shall be carried out strictly in accordance with the technical specification and conforming to IS 6313  or equivalent BS  specification.  The chemical to be used as insecticides for the treatment shall be 50% EC (Imidacloprid 30.5 SC) and the application shall be dilute one part of chemical 50% EC with 49 parts of water to get 1% emulsion and strictly in accordance with the manufacturer's specification.
Note : Measurement taken along external periphery of the building. Treatment shall extend to a width of 1m around the building. (Including 10 years warranty).",Sqm," 13,825 ",, -   
,Sub-Total,,,, -   
2,PLAIN CEMENT CONCRETE WORKS,, -   ,, -   
,Unless otherwise specified rates quoted for all PCC works shall include the following :,, -   ,, -   
,"Cost of all materials, labour, equipment / tools & plants required, lead and lifts, conveyance, infrastructure facilities required etc.",, -   ,, -   
,The contractors are particularly advised to study the relevant drawings carefully before quoting.,, -   ,, -   
,Minimum cementitious content for concrete shall be as per cement constants specified in the technical specification.,, -   ,, -   
