Sr.No,SAP Item ,Short Desc,QUANTITY,QUANTITY,UNIT,LONG TEXT,RATE,Amount
110.4,"13000647
/995411","13000647 /995411 MS
Puddle Flange on bot",8,,NOS,Treated water tank outlets - 150mm dia,"6,491.00",51928
110.4,"13000647
/995411","13000648 /995411 MS
Puddle Flange on bot",24,,NOS,Treated water tank inlet - 100 mm dia,"6,491.00",155784
110.4,"13000648
/995411","13000647 /995411 MS
Puddle Flange on bot",4,,NOS,Final Tank Outlet Puddle Flanges - 150 mm dia,"4,435.00",17740
110.4,"13000647
/995411","13000648 /995411 MS
Puddle Flange on bot",20,,NOS,For Irrigation Pump - 100mm dia,"6,302.00",126040
110.4,"13000648
/995411","13000648 /995411 MS
Puddle Flange on bot",8,,NOS,UF tank Outlets - 100mm dia,"4,305.00",34440
110.4,"13000648
/995411","24000063 /995478 River
Sand Filling",4,,NOS,"Providing and laying fine aggregate cushion layer in the trenches,drainage systems for full width and all-round the pipes as
indicated inthe drawing. Cost to include necessary compaction etc., completeincluding lead and lift etc., complete as directed b","4,305.00",17220
110.4,"24000063
/995478","24000061 /995478 Gravel
or metal filling",140,,CUM,"Providing and laying 20mm single size aggregate for sub-soil drainagesystem to the specified width and depth as indicated in
the drawing,Cost shall include necessay lead and lift etc., complete as directedby the Engineer- in-charge.","2,292.00",320880
110.4,"24000061
/995478","13000227 /995458 CRE-
160mm Subsoil Drai",110,,CUM,160mm dia,"2,292.00",252120
110.4,"13000227
/995458","14000176 /995432
Polypropelene Plastic L",585,,RMT,Along the retaining wall over the quarry dust filling towards earth side,"1,350.00",789750
110.4,"14000176
/995432","14000176 /995432
Polypropelene Plastic L","1,994.00",,SQM,Along the perimeter of the drainage trench,270,538380
120,"14000176
/995432",Pvc Conduit 20Mm,"1,135.00",,SQM,"Supply & Installation of 20 mm dia heavy duty FRLS 2 mm thick conduitfor ceiling & wall in MIVAN shuttering excluding wiring &
including GIFish wire / Nylon Fish wire, all other necessary acessories such asdeeps, flat / round junction boxes, bends, col",270,306450
120.1,,"18000256 /995432 Pvc
Conduit 20Mm",1,,AU,"Supply & Installation of 20 mm dia heavy duty FRLS 2 mm thick conduitfor ceiling & wall in MIVAN shuttering excluding wiring &
including GIFish wire / Nylon Fish wire, all other necessary acessories such asdeeps, flat / round junction boxes, bends, col","24,36,263.00",2436263
120.2,"18000256
/995432","18000261 /995432 Supply
Of 8 Module Box","14,150.00",,RMT,8module (77.3mm H x 232.8mm W x 51mm),67,948050
120.3,"18000261
/995432","18000261 /995432 Supply
Of 8 Module Box",127.5,,NOS,12 module (132.0 mm H x 206.0mm W x 55.0mm),362,46155
120.4,"18000261
/995432","18000075 /995432 25Mm
Pvc Conduit Electr",104,,NOS,"Supply & Installation of 25 mm dia heavy duty FRLS 2 mm thick conduitfor ceiling & wall in MIVAN shuttering excluding wiring &
including GIFish wire / Nylon Fish wire, all other necessary acessories such asdeeps, flat / round junction boxes, bends, col",397,41288
120.5,"18000075
/995432","24000013 /995461
Junction Boxes","6,450.00",,RMT,"Supply & Installation of ceiling fan junction box with complete rodassembly as per approved drawings and also instructed by
Client / theEngineer.
(Approved make “VIP / SUDHAKAR PIPES / UNIVERSAL /POWERPLAST”)",81,522450
120.6,"24000013
/995461","18000649 /995411 12 Way
Spn Db Electrica",595,,NOS,"Supply & Installation of 12 way single phase MS powder coated MCB DBbox 2mm thick with complete assembly excluding
switchgears as perapproved drawings and also instructed by Client / theEngineer.
(Approved make: ""HAGER / LEGRAND / SCHNEIDER / INDOASIAN#",110,65450
