Sr.No,SAP Item ,Short Desc,QUANTITY,QUANTITY,UNIT,LONG TEXT,RATE,Amount
760.3,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,126,34902
760.3,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,126,34902
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,128,35456
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,128,35456
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,128,35456
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,128,35456
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,128,35456
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Staircase railing,131,36287
760.4,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Corridor railing,126,34776
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,131,36287
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,131,36287
760.4,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,131,36287
760.5,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,131,36287
760.5,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,133,36841
760.5,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,Corridor railing,133,36841
760.5,"14000278
/995411","14000278 /995411 MS
Railing",277,,KG,MS Ladder & stairs,133,36841
760.5,"14000278
/995411","14000278 /995411 MS
Railing",459.9,,KG,MS Grills,131,60246.9
760.5,"14000278
/995411","14000278 /995411 MS
Railing",210.6,,KG,Staircase railing,131,27588.6
760.5,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,126,34776
760.5,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,128,35328
760.5,"14000278
/995411","14000278 /995411 MS
Railing",276,,KG,Staircase railing,128,35328
770,"14000278
/995411","Silhouette Grid False
Ceiling",276,,KG,Gypboard Grid ceiling toilets,128,35328
770.1,,"14000313 /995411
Silhouette Grid False C",1,,AU,Gypboard Grid ceiling toilets,"9,77,400.00",977400
770.2,"14000313
/995411","14000313 /995411
Silhouette Grid False C",36,,SQM,Gypboard Grid ceiling toilets,960,34560
770.3,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,972,52488
770.4,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,972,52488
770.5,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,972,52488
770.6,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,972,52488
770.7,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,972,52488
770.8,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,978,52812
770.9,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,978,52812
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,978,52812
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,978,52812
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,978,52812
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,960,51840
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,960,51840
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,960,51840
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,966,52164
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,966,52164
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,966,52164
770.1,"14000313
/995411","14000313 /995411
Silhouette Grid False C",54,,SQM,Gypboard Grid ceiling toilets,966,52164
780,"14000313
/995411","CRE- MS Chequered Plate
Works",54,,SQM,MS chequered plate-shaft platform,966,52164
780.1,,"13000148 /995455 CRE-
MS Chequered Plate",1,,AU,MS chequered plate-shaft platform,"12,65,627.00",1265627
780.2,"13000148
/995455","14000035 /995475 CRE-
50mm Screed at Sha",1.8,,MT,50mm avg thk. screed concrete- shaftplatform,"1,26,090.00",226962
780.3,"14000035
/995475","14000035 /995475 CRE-
50mm Screed at Sha",36.9,,SQM,Sealant packing-CM 1:4,370,13653
780.4,"14000035
/995475","14000308 /995411 Roofing
sheet- all type",8.1,,SQM,OTS cover-polycarbonate sheet,333,2697.3
780.5,"14000308
/995411","14000318 /995411 Bison
Board - Balcony &",118,,SQM,Bison Board-Rain water pipe covering,"5,027.00",593186
790,"14000318
/995411","RMC-Staircase at all floors
& heights",371.54,,SQM,RMC M30 Stair-6th floor,"1,155.00",429128.7
790.1,,"13000322 /995411 RMC-
Staircase at all fl",1,,AU,RMC M30 Stair-6th floor,"89,53,899.21",8953899.21
790.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-15th floor,"7,109.00",32751.163
790.3,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-16th floor,"7,109.00",32751.163
790.4,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-17th floor,"7,109.00",32751.163
790.5,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-18th floor,"7,109.00",32751.163
790.6,"13000322
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",4.607,,CUM,RMC M30 Regular Slab 7th floor,"7,109.00",32751.163
790.7,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",91.125,,CUM,RMC M30 Regular Slab 8th floor,"7,109.00",647807.625
790.8,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",98,,CUM,RMC M30 Regular Slab 9th floor,"7,109.00",696682
790.9,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab 10th floor,"7,109.00",643364.5
790.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab 11th floor,"7,109.00",643364.5
790.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab 12th floor,"7,109.00",643364.5
790.1,"13000389
/995411","13000322 /995411 RMC-
Staircase at all fl",90.5,,CUM,RMC M30 Stair-7th floor,"7,109.00",643364.5
790.1,"13000322
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",4.607,,CUM,RMC M30 Regular Slab 13th floor,"7,109.00",32751.163
790.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab 14th floor,"7,109.00",643364.5
790.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab 15th floor,"7,109.00",643364.5
790.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab 16th floor,"7,109.00",643364.5
790.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab 17th floor,"7,109.00",643364.5
790.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab 18th floor,"7,109.00",643364.5
790.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab terrace floor,"7,109.00",643364.5
790.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",90.5,,CUM,RMC M30 Regular Slab Above terrace,"7,109.00",643364.5
790.2,"13000389
/995411","13000322 /995411 RMC-
Staircase at all fl",15,,CUM,RMC M30 Stair-8th floor,"7,109.00",106635
790.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-9th floor,"7,109.00",32751.163
790.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-10t floor,"7,109.00",32751.163
790.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-11th floor,"7,109.00",32751.163
790.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-12th floor,"7,109.00",32751.163
790.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-13th floor,"7,109.00",32751.163
790.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-14th floor,"7,109.00",32751.163
800,"13000322
/995411","RMC-Beams, M30 Grade",4.607,,CUM,RMC M30 Regular Beam 7th floor,"7,109.00",32751.163
800.1,,"13000396 /995411 RMC-
Beams, M30 Grade",1,,AU,RMC M30 Regular Beam 7th floor,"2,76,79,470.90",27679470.9
800.2,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam 16th floor,"7,109.00",227580.417
800.3,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam 17th floor,"7,109.00",227580.417
800.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam 18th floor,"7,109.00",227580.417
800.5,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam terrace floor,"7,109.00",227580.417
800.6,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam Above terrace,"7,109.00",227580.417
800.7,"13000396
/995411","13000331 /995411 RMC-
OHT",12,,CUM,Bottom Slab,"7,109.00",85308
800.8,"13000331
/995411","13000331 /995411 RMC-
OHT",10,,CUM,Walls,"7,189.00",71890
800.9,"13000331
/995411","13000331 /995411 RMC-
OHT",25,,CUM,Top Slab,"7,189.00",179725
800.1,"13000331
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",10,,CUM,SDC M40 Corewall/stair wall-6th floor,"7,189.00",71890
800.1,"13000424
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",0.001,,CUM,SDC M30 Corewall/stair wall-7th floor,"8,453.00",8.453
800.1,"13000426
/995411","13000396 /995411 RMC-
Beams, M30 Grade",22.951,,CUM,RMC M30 Regular Beam 8th floor,"8,053.00",184824.403
800.1,"13000396
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",32.013,,CUM,SDC M30 Corewall/stair wall-8th floor,"7,109.00",227580.417
800.1,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-9th floor,"8,053.00",184824.403
800.1,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-10th floor,"8,053.00",184824.403
800.1,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-11th floor,"8,053.00",184824.403
800.1,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-12th floor,"8,053.00",184824.403
800.1,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-13th floor,"8,053.00",184824.403
800.1,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-14th floor,"8,053.00",184824.403
800.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-15th floor,"8,053.00",184824.403
800.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-16th floor,"8,053.00",184824.403
800.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-17th floor,"8,053.00",184824.403
800.2,"13000426
/995411","13000396 /995411 RMC-
Beams, M30 Grade",22.951,,CUM,RMC M30 Regular Beam 9th floor,"8,053.00",184824.403
800.2,"13000396
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",32.013,,CUM,SDC M30 Corewall/stair wall-18th floor,"7,109.00",227580.417
800.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",22.951,,CUM,SDC M30 Corewall/stair wall-19th floor,"8,053.00",184824.403
800.2,"13000426
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",22.951,,CUM,SDC M40 RC wall-6th floor,"8,053.00",184824.403
800.2,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M30 RC wall-7th floor,"8,474.00",8.474
800.2,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",216.304,,CUM,SDC M30 RC wall-8th floor,"8,053.00",1741896.112
800.2,"13000417
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-9th floor,"8,053.00",1741896.112
800.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-10th floor,"8,053.00",1741896.112
800.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-11th floor,"8,053.00",1741896.112
800.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-12th floor,"8,053.00",1741896.112
800.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-13th floor,"8,053.00",1741896.112
800.3,"13000419
/995411","13000396 /995411 RMC-
Beams, M30 Grade",216.304,,CUM,RMC M30 Regular Beam 10th floor,"8,053.00",1741896.112
800.3,"13000396
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",32.013,,CUM,SDC M30 RC wall-14th floor,"7,109.00",227580.417
800.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-15th floor,"8,053.00",1741896.112
800.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-16th floor,"8,053.00",1741896.112
800.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-17th floor,"8,053.00",1741896.112
800.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-18th floor,"8,053.00",1741896.112
800.4,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.304,,CUM,SDC M30 RC wall-19th floor,"8,053.00",1741896.112
800.4,"13000419
/995411","13000396 /995411 RMC-
Beams, M30 Grade",125,,CUM,RMC M30 Regular Beam 11th floor,"8,053.00",1006625
800.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam 12th floor,"7,109.00",227580.417
800.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam 13th floor,"7,109.00",227580.417
800.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam 14th floor,"7,109.00",227580.417
800.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.013,,CUM,RMC M30 Regular Beam 15th floor,"7,109.00",227580.417
810,"13000396
/995411","SDC-Non Structural walls,
M40 Grade",32.013,,CUM,SDC M40 Non Structural RC wall-6th floor,"7,109.00",227580.417
810.1,,"13000445 /995411 SDC-
Non Structural wall",1,,AU,SDC M40 Non Structural RC wall-6th floor,"48,00,789.37",4800789.37
810.2,"13000445
/995411","13000447 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M30 Non Structural RC wall-15th floo,"8,474.00",8.474
810.3,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-16th floo,"8,053.00",133381.839
810.4,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-17th floo,"8,053.00",133381.839
810.5,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-18th floo,"8,053.00",133381.839
810.6,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-19th floo,"8,053.00",133381.839
810.7,"13000447
/995411","13000707 /995411 RCC-
Elevation Band M30",16.563,,CUM,Elevation feature-fins/RCC band,"8,053.00",133381.839
810.8,"13000707
/995411","13000447 /995411 SDC-
Non Structural wall",126.222,,CUM,SDC M30 Non Structural RC wall-7th floor,"8,301.00",1047768.822
810.9,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-8th floor,"8,053.00",133381.839
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-9th floor,"8,053.00",133381.839
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-10th floo,"8,053.00",133381.839
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-11th floo,"8,053.00",133381.839
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-12th floo,"8,053.00",133381.839
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-13th floo,"8,053.00",133381.839
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,SDC M30 Non Structural RC wall-14th floo,"8,053.00",133381.839
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.563,,CUM,,"8,053.00",133381.839
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",22.95,,CUM,,"8,053.00",184816.35
810.1,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",216.3,,CUM,,"8,053.00",1741863.9
820,"13000447
/995411","Conventional formwork-
OHT",11.47,,CUM,Formwork-OHT-Bottom slab,"8,053.00",92367.91
820.1,,"13000707 /995411 RCC-
Elevation Band M30",1,,AU,Formwork-OHT-Bottom slab,"4,36,11,687.11",43611687.11
820.2,"13000707
/995411","13000511 /995411
Formwork-Aluminium/spe",40,,CUM,Formwork-Al. FW-4th floor,850,34000
820.3,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","3,422.22",,SQM,Formwork-Al. FW-5th floor,534,1827466.548
820.4,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","3,422.22",,SQM,Formwork-Al. FW-6th floor,534,1827466.548
820.5,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-7th floor,534,2389473.78
820.6,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-8th floor,534,2389473.78
820.7,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-9th floor,534,2389473.78
820.8,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-10th floor,534,2389473.78
820.9,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-11th floor,534,2389473.78
820.1,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-12th floor,534,2389473.78
820.1,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-13th floor,534,2389473.78
820.1,"13000511
/995411","13000707 /995411 RCC-
Elevation Band M30","4,474.67",,SQM,Formwork-OHT-Walls,534,2389473.78
820.1,"13000707
/995411","13000511 /995411
Formwork-Aluminium/spe",215,,CUM,Formwork-Al. FW-14th floor,857,184255
820.1,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-15th floor,534,2389473.78
820.1,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-16th floor,534,2389473.78
820.1,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-17th floor,534,2389473.78
820.1,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-18th floor,534,2389473.78
820.1,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","4,474.67",,SQM,Formwork-Al. FW-Terrace floor,534,2389473.78
820.1,"13000511
/995411","13000728 /995411
Formwork -RCC bands","4,474.67",,SQM,Formwork-Ele.Feature-fins/bands,534,2389473.78
820.2,"13000728
/995411","13000613 /995411 Exp.
joint boards - all",766.667,,SQM,"Providing, supplying, placing and fixing in position to create gap forexpansion joints of specified thick using 50mm tk of lower
density ofsupreme make - CAPCELL HD100 of 100 kg/cum density during execution ofconcrete elements at all expansion
joints a",766,587266.922
820.2,"13000613
/995411","13000707 /995411 RCC-
Elevation Band M30",270.984,,SQM,Formwork-OHT-Top slab,"2,205.00",597519.72
820.2,"13000707
/995411","13000504 /995411
Conventional formwork-C",40,,CUM,Formwork-Corewalls-Terrace,864,34560
820.2,"13000504
/995411","13000508 /995411
Conventional formwork-S",79.97,,SQM,Formwork-Regular slab- Above Terrace,850,67974.5
820.2,"13000508
/995411","13000509 /995411
Conventional formwork-B",75,,SQM,Formwork-Regular Beam- Above Terrace,850,63750
820.2,"13000509
/995411","13000511 /995411
Formwork-Aluminium/spe",125,,SQM,Formwork-Al. FW-1st floor,850,106250
820.2,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","2,208.49",,SQM,Formwork-Al. FW-2nd floor,534,1179335.796
820.2,"13000511
/995411","13000511 /995411
Formwork-Aluminium/spe","3,411.50",,SQM,Formwork-Al. FW-3rd floor,534,1821742.602
830,"13000511
/995411",Reinforcement Steel,"3,422.22",,SQM,Grade of reinforced steel - Fe 550/550D,534,1827466.548
830.1,,"13000523 /995411
Reinforcement Steel",1,,AU,Grade of reinforced steel - Fe 550/550D,"5,72,49,850.00",57249850
830.2,"13000523
/995411","13000142 /995454 CRE-
Reducer Couplers -",825,,MT,Reduced coupler 25-16mm dia,"68,000.00",56100000
830.3,"13000142
/995454","13000143 /995454 CRE-
Reducer Couplers -",17,,NOS,Reduced coupler 20-16mm dia,157,2669
830.4,"13000143
/995454","13000529 /995411
Structural steel member",42,,NOS,"For Terrace MS Elevation Features / Pergolas, OHT/ LMR Ladders,Basement/Ramp gratings, PHE Shaft Cat Ladder, Terrace
Level SteelStaircase, STP walkways, STP Staircase, STP Railing, pump room & OtherMiscellaneous Work",146,6132
830.5,"13000529
/995411","13000136 /995454 CRE-
MS Couplers - 32mm",7,,MT,Coupler-32 mm Dia,"1,26,187.00",883309
830.6,"13000136
/995454","13000135 /995454 CRE-
MS Couplers - 25mm",165,,NOS,Coupler-25 mm Dia,222,36630
830.7,"13000135
/995454","13000137 /995454 CRE-
MS Couplers - 20mm",495,,NOS,Coupler-20 mm Dia,161,79695
830.8,"13000137
/995454","13000138 /995454 CRE-
MS Couplers - 16mm",372,,NOS,Coupler-16 mm Dia,122,45384
830.9,"13000138
/995454","13000139 /995454 CRE-
Reducer Couplers -",495,,NOS,Reduced coupler 32-25 mm dia,101,49995
830.1,"13000139
/995454","13000140 /995454 CRE-
Reducer Couplers -",33,,NOS,Reduced coupler 32-20 mm dia,244,8052
830.1,"13000140
/995454","13000526 /995411 Rebar
Couplers/Reducers",17,,NOS,Reduced coupler 32-16 mm dia,227,3859
830.1,"13000526
/995411","13000141 /995454 CRE-
Reducer Couplers -",25,,NOS,Reduced coupler 25-20 mm dia,210,5250
840,"13000141
/995454","CementÂ Screed
Concrete Flooring",165,,NOS,M15 cement screed Tile floor-6th floor,175,28875
840.1,,"13000539 /995411
CementÂ Screed Concret",1,,AU,M15 cement screed Tile floor-6th floor,"26,83,395.00",2683395
840.2,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-15th floor,297,206415
840.3,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-16th floor,297,206415
840.4,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-17th floor,297,206415
840.5,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-18th floor,297,206415
840.6,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-7th floor,297,206415
840.7,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-8th floor,297,206415
840.8,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-9th floor,297,206415
840.9,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-10th floor,297,206415
840.1,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-11th floor,297,206415
840.1,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-12th floor,297,206415
840.1,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-13th floor,297,206415
840.1,"13000539
/995411","13000539 /995411
CementÂ Screed Concret",695,,SQM,M15 cement screed Tile floor-14th floor,297,206415
850,"13000539
/995411","CRE- UG Tank Internal
WP (Cementatious)",695,,SQM,WP Treatment Sump -Walls Internal,297,206415
850.1,,"13000165 /995453 CRE-
UG Tank Internal W",1,,AU,WP Treatment Sump -Walls Internal,"77,44,593.00",7744593
850.2,"13000165
/995453","14000014 /995472 CRE-
Ceiling Plaster CM",145,,SQM,WP Protective Plaster -Sunk depth 150 mm,578,83810
850.3,"14000014
/995472","13000199 /995458 CRE-
Cinder Filling, de",500,,SQM,WP Cinder filling -Sunk depth 150 mm,468,234000
850.4,"13000199
/995458","14000035 /995475 CRE-
50mm Screed at Sha",75,,CUM,WP Screed Concrete -Sunk depth 150 mm,"4,637.00",347775
850.5,"14000035
/995475","13000569 /995411 PVC
6Kg/sqcm pressure p",500,,SQM,40 mm dia PVC pipes,633,316500
850.6,"13000569
/995411","13000186 /995453 CRE-
Terrace Waterproof",150,,RMT,WP- Terrace- PU waterproofing membrane,220,33000
850.7,"13000186
/995453","13000189 /995453 CRE-
Terrace 75mm thk p",939,,SQM,WP- Terrace-M15 screed- Tiling area,990,929610
850.8,"13000189
/995453","14000389 /995411 Clay tile
flooring",939,,SQM,Clay tile 200x200 -floor- flat Terrace,813,763407
850.9,"14000389
/995411","14000390 /995411 Clay tile
Skirting",939,,SQM,Clay tile 200x200 -Skirting- flat Terrac,"1,172.00",1100508
